# Hand-check of src/domain_discovery.py. Fill in verdict
# what_the_site_actually_is and checked_at. verdict: correct | wrong | unclear
# 'correct' = the domain really is this company's. 'wrong' = it is
# somebody else's, parked, or unrelated. match_strength is what the
# matcher decided; verdict is what is true.
# selection: seed 20260820, spread across outcomes, regenerate with
#   python src/domain_audit_sheet.py
company_number,company_name,ch_address,sector_group,size_band,candidate_domain,match_strength,matched_on,notes,verdict,what_the_site_actually_is,checked_at
04121793,PHSC PLC,"THE OLD CHURCH, AYLESFORD, ME20 7PR",business_services,larger,phsc.co.uk,strong,full_registered_name,possible placeholder page (coming soon),wrong,"site of Personnel Health & Safety Consultants Ltd, company 2485626 (a subsidiary of the sampled company PHSC plc 04121793)...same premises but different legal entity",20.08.2026
05050419,BSN (LONDON) LIMITED,"55 LOUDOUN ROAD, LONDON, NW8 0DL",business_services,small,bsnlondon.com,strong,full_registered_name,"the site address (4 Prince Albert Road) doesnt match CH (55 Loudoun Road), the page says ""© 2020"", they probably moved. address disagreement did not mean wrong company. bare in mind for when i get to the HMRC name/address test, because the same thing will happen there",correct,,20.08.2026
09625689,ETI LOGISTICS SUPPORT LTD,"151 ADDINGTON RD ADDINGTON ROAD, WELLINGBOROUGH, NN9 5UP",business_services,small,etilogisticssupport.co.uk,strong,name_plus_legal_form:limited,,correct,,20.08.2026
15887473,SOUTH YORKSHIRE BUILDERS LTD,"4 BOLAND ROAD, SHEFFIELD, S8 7HX",construction_trades,unknown,southyorkshirebuilders.com,strong,company_number:15887473,,correct,,20.08.2026
16302283,TIMGLOBAL LTD,"118 SHALFORD ROAD, SOLIHULL, B92 7NF",business_services,small,timglobal.uk,strong,full_registered_name,1 other candidate(s) also served a page,correct,,20.08.2026
04818845,SURIYA JEWELS LIMITED,"292 HIGH STREET NORTH, LONDON, E12 6SA",wholesale_retail,small,suriyajewels.com,weak,distinctive_name_only,possible placeholder page (coming soon),unclear,"coming soon placeholder, no company information, cant tell whose it is",20.08.2026
05482648,FISH! RESTAURANTS LTD,"FIFTH FLOOR, CLAREVILLE HOUSE 26-27 OXENDON STREET, LONDON, SW1Y 4EL",wholesale_retail,small,fishrestaurants.com,weak,distinctive_name_only,,wrong,their real site is fishboroughmarket.com; generator never produced it,20.08.2026
10643839,MAPACH LIMITED,"SECOND FLOOR KENNEL CLUB HOUSE, AYLESBURY, HP19 8DB",transport_logistics,micro,mapach.com,weak,distinctive_name_only,redirected to www.hugedomains.com; possible placeholder page (this domain is for sale),wrong,"redirects to hugedomains.com, domain listed for sale",20.08.2026
12746286,ADVANCED ROOF TESTING LTD,"62 THE PINES, HORSHAM, RH12 4UE",construction_trades,micro,advancedrooftesting.co.uk,weak,distinctive_name_only,,correct,"genuinely their site, CH address 62 The Pines, Horsham RH12 4UE matches, corroborated by LinkedIn",20.08.2026
16331646,UNINHIBITED DEVELOPMENT SOLUTIONS LTD,"120 BENNETTS CLOSE, MITCHAM, CR4 1NS",business_services,unknown,uninhibiteddevelopmentsolutions.co.uk,weak,distinctive_name_only,possible placeholder page (under construction),unclear,under construction placeholder; their actual presence is uni-concept.netlify.app and LinkedIn,20.08.2026
