company_number,company_name,candidate_domain,http_status,match_strength,matched_on,page_sha256,notes
00393793,DAISY TUFTS LIMITED,daisytufts.co.uk,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,2 other candidate(s) also served a page
00741597,ARGENTA PRIVATE CAPITAL LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
00927976,RUNG HEATING SUPPLIES LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
01003695,AMPLIVOX LIMITED,amplivox.co.uk,200,weak,distinctive_name_only,10c34c35b7af5364c1ac72e7ae69ad3c3a177d7ecb714f5aec1f66f40c628291,redirected to amplivox.com; 2 other candidate(s) also served a page
01262251,MCKENNA (PLASTERERS) LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: 403,DNSFailure"
01407765,MOUNTNEY LIMITED,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: ConnectionError,SSLError"
01472159,T. SPENCER BUILDING AND JOINERY LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
01589528,APPLIED RELATIONAL TECHNOLOGY LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
01937849,ROY FLEETWOOD LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
02134862,THE OPEN GROUP LIMITED,open-group.com,200,weak,distinctive_name_only,8d5bb12158a906a705c180c92fda1ca861cee62c3077a11ff2ab6f75cf9ee17a,2 other candidate(s) also served a page
02231034,O.R.C.A. (PORTSMOUTH) LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
02823490,DURAVAC PRODUCTS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
02898715,HIGH PERFORM LIMITED,highperform.co.uk,200,weak,distinctive_name_only,db224c2d642dffaf34f6446876cc88e6445f604d6acc828f61f4ffa40c76b610,
02976791,INTERNET SECURITIES LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03006401,CAMBRIA ESTATES LIMITED,cambriaestates.com,200,weak,distinctive_name_only,fafec6ff01ebb89ddfbb43bccc1c571c59aceb911bcd751cdf1b8abdf86beb02,
03090204,LEA CONSULTANCY SERVICES LIMITED,leaconsultancyservices.co.uk,200,strong,name_plus_legal_form:ltd,5acd104bb055e40f1c8972c9298b9fe3fd2a507bd96721ee243a1d25cb3d3f03,
03117037,TJK DEVELOPMENTS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03400701,JAYLEC ELECTRICAL CONTRACTORS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03671068,SYKES CHEMISTS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03737368,ANNOG CYF,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03771876,ELITE WORLDWIDE LIMITED,eliteworldwide.com,200,weak,distinctive_name_only,eaa09fb8ccd255ce228b218a5aa0e88911830863159665a2091570f3bc8f3834,1 other candidate(s) also served a page
03859134,WILLINGHAM INVESTMENTS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03918357,HASEMORE LIMITED,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
03925108,BW TECHNOLOGIES LIMITED,bwtechnologies.com,200,none,,60f66e6ae2ea2237b1987702fb15e0039126ed7ab3b11515088238b1225dcbb6,redirected to purehydration.com; possible placeholder page (coming soon)
04037750,JAMES MANSFIELD TIMBER LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
