# Frozen sample - do not edit by hand, do not re-draw without --force.
# seed=20260820  n=500  frame_size=2362322
# snapshot=BasicCompanyDataAsOneFile-2026-08-01.zip
# snapshot_sha256=dd625ad9b37c023c3cd8d942467d0a8348608bee15c13a4a9db1927e7ff23c21
# numpy=2.4.4 (default_rng/PCG64)
# stratified on sector_group x size_band (20 cells), proportional allocation.
# age_band is recorded but NOT stratified on.
# exclusions applied in order (removed -> remaining):
#   all rows in snapshot: removed 0 -> remaining 5695465
#   CompanyStatus = 'Active': removed 505001 -> remaining 5190464
#   SIC present: removed 216285 -> remaining 4974179
#   SIC not 99999 / 74990: removed 137480 -> remaining 4836699
#   accounts not DORMANT: removed 476051 -> remaining 4360648
#   SIC division is supplier-like: removed 1998326 -> remaining 2362322
# no generated-at timestamp on purpose: the same seed must give a byte-identical file.
company_number,company_name,reg_address_line1,reg_post_town,reg_postcode,sic_code,sic_text,accounts_category,incorporation_date,sector_group,size_band,age_band,holdout
00393793,DAISY TUFTS LIMITED,SHAFTESBURY HOUSE 13-14 HOXTON MARKET,LONDON,N1 6HG,46900,Non-specialised wholesale trade,TOTAL EXEMPTION FULL,09/03/1945,wholesale_retail,small,old,False
00741597,ARGENTA PRIVATE CAPITAL LIMITED,5TH FLOOR,LONDON,EC3V 0XL,82990,Other business support service activities n.e.c.,FULL,21/11/1962,business_services,larger,old,False
00927976,RUNG HEATING SUPPLIES LIMITED,"UNIT 4A, MARSH LANE",TEMPLECOMBE,BA8 0TG,43220,"Plumbing, heat and air-conditioning installation",TOTAL EXEMPTION FULL,28/02/1968,construction_trades,small,old,False
01003695,AMPLIVOX LIMITED,GENEVA HOUSE INTERNATIONAL PARK,BIRMINGHAM,B37 7GN,28990,Manufacture of other special-purpose machinery n.e.c.,SMALL,02/03/1971,manufacturing,small,old,False
01262251,MCKENNA (PLASTERERS) LIMITED,4 SOUTH TERRACE,DURHAM CITY,DH7 9ED,41100,Development of building projects,TOTAL EXEMPTION FULL,09/06/1976,construction_trades,small,old,False
01407765,MOUNTNEY LIMITED,7 GRANARD BUSINESS CENTRE,MILL HILL,NW7 2DQ,45310,Wholesale trade of motor vehicle parts and accessories,TOTAL EXEMPTION FULL,04/01/1979,wholesale_retail,small,old,False
01472159,T. SPENCER BUILDING AND JOINERY LIMITED,LYNDHURST,LONG EATON,NG10 1NJ,43390,Other building completion and finishing,TOTAL EXEMPTION FULL,10/01/1980,construction_trades,small,old,False
01589528,APPLIED RELATIONAL TECHNOLOGY LIMITED,THE OLD RECTORY,CANTERBURY,CT4 7HS,62020,Information technology consultancy activities,TOTAL EXEMPTION FULL,06/10/1981,business_services,small,old,False
01937849,ROY FLEETWOOD LIMITED,9 QUY COURT COLLIERS LANE,CAMBRIDGE,CB25 9AU,71129,Other engineering activities,MICRO ENTITY,12/08/1985,business_services,micro,old,True
02134862,THE OPEN GROUP LIMITED,APEX PLAZA,READING,RG1 1AX,62020,Information technology consultancy activities,SMALL,28/05/1987,business_services,small,old,False
02231034,O.R.C.A. (PORTSMOUTH) LIMITED,1 PARISH COTTAGES,ALTON,GU34 3AT,45310,Wholesale trade of motor vehicle parts and accessories,TOTAL EXEMPTION FULL,16/03/1988,wholesale_retail,small,old,False
02823490,DURAVAC PRODUCTS LIMITED,"170 JOHN WILSON BUSINESS PARK, HARVEY DRIVE",WHITSTABLE,CT5 3RA,23200,Manufacture of refractory products,MICRO ENTITY,02/06/1993,manufacturing,micro,old,False
02898715,HIGH PERFORM LIMITED,2 JARVIS BROOK CLOSE,BEXHILL-ON-SEA,TN39 3UQ,74909,"Other professional, scientific and technical activities n.e.c.",MICRO ENTITY,15/02/1994,business_services,micro,old,True
02976791,INTERNET SECURITIES LIMITED,BLUEFIN BUILDING,LONDON,SE1 0SU,70100,Activities of head offices,SMALL,10/10/1994,business_services,small,old,False
03006401,CAMBRIA ESTATES LIMITED,1759 LONDON ROAD,ESSEX,SS9 2RZ,42990,Construction of other civil engineering projects n.e.c.,TOTAL EXEMPTION FULL,05/01/1995,construction_trades,small,old,False
